record_id,edition,indicator_id,category,geo_level,region_id,region_name,sex,age_group,estimate,ci_low,ci_high,weighted_n,weighted_n_role,weighted_denominator_n,se,cv,precision_note,source_table,source_page,source_region_label,source_url,validation_status,se_band,design_df,variance_source,variance_note,ci_method,weighted_denominator_n_role
alcohol-ever:2025:5:12-17:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,5,Occidental,total,12-17,32.0,25.7,39.1,462734,Población estimada de la categoría: consumió alcohol alguna vez,1445026.9,3.4327,10.72,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Occidental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:6:12-17:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,6,Ciudad de México,total,12-17,47.5,39.7,55.4,402708,Población estimada de la categoría: consumió alcohol alguna vez,847652.2,4.0317,8.488,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Cd. de México,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,"[3.9635, 4.0652]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:6:12-17:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,6,Ciudad de México,total,12-17,45.3,38.9,52.0,348178,Población estimada de la categoría: consumió alcohol alguna vez,768131.3,3.3524,7.396,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Cd. de México,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:7:12-17:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,7,Centro,total,12-17,44.1,40.9,47.4,1955821,Población estimada de la categoría: consumió alcohol alguna vez,4432874.1,1.6575,3.759,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Centro,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,"[1.6145, 1.6863]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:7:12-17:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,7,Centro,total,12-17,40.6,34.5,47.0,1727021,Población estimada de la categoría: consumió alcohol alguna vez,4251526.2,3.2043,7.888,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Centro,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:8:12-17:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,8,Centro Sur,total,12-17,36.7,33.5,40.0,948066,Población estimada de la categoría: consumió alcohol alguna vez,2585451.4,1.6577,4.517,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Centro-Sur,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,"[1.6142, 1.6871]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:8:12-17:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,8,Centro Sur,total,12-17,34.2,29.1,39.6,778278,Población estimada de la categoría: consumió alcohol alguna vez,2278195.3,2.6882,7.869,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Centro-Sur,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:9:12-17:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,9,Sur,total,12-17,28.8,25.9,31.9,432986,Población estimada de la categoría: consumió alcohol alguna vez,1504581.1,1.5291,5.309,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Sur,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,"[1.4862, 1.559]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:9:12-17:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,9,Sur,total,12-17,21.2,16.7,26.4,309284,Población estimada de la categoría: consumió alcohol alguna vez,1460710.3,2.473,11.68,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.6,54,Sur,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=54,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 17 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:0:18-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,nacional,0,Nacional,total,18-65,77.3,76.5,78.1,54837943,Población estimada de la categoría: consumió alcohol alguna vez,70926978.7,0.4076,0.527,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Nacional,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,"[0.3775, 0.4345]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:0:18-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,nacional,0,Nacional,total,18-65,80.4,79.3,81.3,63794412,Población estimada de la categoría: consumió alcohol alguna vez,79385000.0,0.5121,0.637,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Nacional,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:1:18-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,1,Península Norte,total,18-65,74.9,72.9,76.8,3171019,Población estimada de la categoría: consumió alcohol alguna vez,4232401.7,0.9934,1.326,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Península Norte,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,"[0.9566, 1.0221]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:1:18-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,1,Península Norte,total,18-65,84.6,82.4,86.5,4283773,Población estimada de la categoría: consumió alcohol alguna vez,5063218.7,1.0431,1.233,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Península Norte,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:2:18-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,2,Noroccidental,total,18-65,75.7,73.7,77.5,3714604,Población estimada de la categoría: consumió alcohol alguna vez,4908832.1,0.9666,1.277,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Noroccidental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,"[0.93, 0.9952]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:2:18-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,2,Noroccidental,total,18-65,81.5,79.0,83.8,2922205,Población estimada de la categoría: consumió alcohol alguna vez,3584158.4,1.2076,1.481,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Noroccidental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:3:18-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,3,Norcentral,total,18-65,74.6,72.3,76.8,3732738,Población estimada de la categoría: consumió alcohol alguna vez,5001889.4,1.1468,1.537,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Norcentral,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,"[1.1082, 1.176]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:3:18-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,3,Norcentral,total,18-65,79.8,77.0,82.4,4720405,Población estimada de la categoría: consumió alcohol alguna vez,5913461.5,1.3567,1.7,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Norcentral,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:4:18-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,4,Nororiental,total,18-65,70.5,67.6,73.3,2561909,Población estimada de la categoría: consumió alcohol alguna vez,3632577.0,1.4536,2.062,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Nororiental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,"[1.4117, 1.4832]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:4:18-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,4,Nororiental,total,18-65,77.3,74.6,79.8,3160648,Población estimada de la categoría: consumió alcohol alguna vez,4086967.5,1.3334,1.724,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Nororiental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:5:18-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,5,Occidental,total,18-65,83.1,81.4,84.8,6210951,Población estimada de la categoría: consumió alcohol alguna vez,7470389.7,0.8683,1.045,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Occidental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,"[0.8319, 0.8977]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:5:18-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,5,Occidental,total,18-65,78.0,75.2,80.5,6627454,Población estimada de la categoría: consumió alcohol alguna vez,8498790.7,1.3443,1.724,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Occidental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:6:18-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,6,Ciudad de México,total,18-65,80.9,77.4,83.9,4725360,Población estimada de la categoría: consumió alcohol alguna vez,5843556.4,1.6518,2.042,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Cd. de México,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,"[1.6059, 1.6839]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:6:18-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,6,Ciudad de México,total,18-65,85.6,83.4,87.6,5584434,Población estimada de la categoría: consumió alcohol alguna vez,6524192.0,1.0745,1.255,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Cd. de México,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:7:18-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,7,Centro,total,18-65,78.7,76.7,80.5,16993819,Población estimada de la categoría: consumió alcohol alguna vez,21597441.6,0.9665,1.228,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Centro,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,"[0.9296, 0.9954]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:7:18-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,7,Centro,total,18-65,85.6,83.4,87.7,21422748,Población estimada de la categoría: consumió alcohol alguna vez,25012529.8,1.0927,1.276,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Centro,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:8:18-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,8,Centro Sur,total,18-65,77.0,75.2,78.8,8778831,Población estimada de la categoría: consumió alcohol alguna vez,11397212.8,0.9183,1.193,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Centro Sur,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,"[0.8821, 0.947]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:8:18-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,8,Centro Sur,total,18-65,75.0,72.1,77.8,9491883,Población estimada de la categoría: consumió alcohol alguna vez,12653565.6,1.4513,1.935,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Centro Sur,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:9:18-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,9,Sur,total,18-65,72.3,70.5,74.1,4948711,Población estimada de la categoría: consumió alcohol alguna vez,6842677.8,0.9178,1.269,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Sur,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,"[0.882, 0.946]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:9:18-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,9,Sur,total,18-65,69.3,65.7,72.7,5580862,Población estimada de la categoría: consumió alcohol alguna vez,8048115.6,1.7936,2.587,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.9,57,Sur,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=57,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 18 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
