record_id,edition,indicator_id,category,geo_level,region_id,region_name,sex,age_group,estimate,ci_low,ci_high,weighted_n,weighted_n_role,weighted_denominator_n,se,cv,precision_note,source_table,source_page,source_region_label,source_url,validation_status,se_band,design_df,variance_source,variance_note,ci_method,weighted_denominator_n_role
alcohol-ever:2016-2017:5:12-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,5,Occidental,total,12-65,78.0,76.4,79.6,7017013,Población estimada de la categoría: consumió alcohol alguna vez,8991995.5,0.8161,1.046,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Occidental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,"[0.781, 0.8445]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:5:12-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,5,Occidental,total,12-65,71.3,68.5,74.0,7090188,Población estimada de la categoría: consumió alcohol alguna vez,9943817.6,1.3891,1.948,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Occidental,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:6:12-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,6,Ciudad de México,total,12-65,76.6,73.3,79.7,5128068,Población estimada de la categoría: consumió alcohol alguna vez,6691208.6,1.6331,2.132,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Cd. de México,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,"[1.5882, 1.6642]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:6:12-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,6,Ciudad de México,total,12-65,81.4,79.0,83.5,5932612,Población estimada de la categoría: consumió alcohol alguna vez,7292323.3,1.1417,1.403,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Cd. de México,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:7:12-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,7,Centro,total,12-65,72.8,71.0,74.5,18949639,Población estimada de la categoría: consumió alcohol alguna vez,26030315.7,0.8913,1.224,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Centro,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,"[0.8557, 0.9194]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:7:12-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,7,Centro,total,12-65,79.1,76.9,81.1,23149769,Población estimada de la categoría: consumió alcohol alguna vez,29264056.0,1.0606,1.341,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Centro,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:8:12-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,8,Centro Sur,total,12-65,69.6,67.9,71.2,9726897,Población estimada de la categoría: consumió alcohol alguna vez,13982664.2,0.8403,1.207,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Centro Sur,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,"[0.8055, 0.868]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:8:12-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,8,Centro Sur,total,12-65,68.8,66.2,71.2,10270161,Población estimada de la categoría: consumió alcohol alguna vez,14931760.9,1.281,1.862,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Centro Sur,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2016-2017:9:12-65:total,2016-2017,alc_alguna_vez,Consumo alguna vez en la vida,region,9,Sur,total,12-65,64.5,62.6,66.3,5381697,Población estimada de la categoría: consumió alcohol alguna vez,8347258.9,0.9423,1.461,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Sur,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,"[0.9067, 0.9701]",No disponible,reconstructed_from_published_ci,"El archivo individual 2016-2017 solo trae el ponderador ponde_ss: sin estrato ni UPM no existe varianza por diseño para esta edición. El SE se reconstruye invirtiendo el IC publicado bajo el método logit-t identificado, con banda que propaga el redondeo y los grados de libertad.",logit-t publicado; SE reconstruido por inversión,"Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
alcohol-ever:2025:9:12-65:total,2025,alc_alguna_vez,Consumo alguna vez en la vida,region,9,Sur,total,12-65,61.9,58.6,65.2,5890146,Población estimada de la categoría: consumió alcohol alguna vez,9508825.9,1.6796,2.712,Sin advertencia de precisión en el cuadro; CV numérico no publicado.,2.2,50,Sur,https://encuestas.insp.mx/repositorio/encuestas/ENCODAT2025/doctos/informes/251223_ENCODAT_completo.pdf#page=50,verified_source_and_weighted_point_estimate,No disponible,706,design,"Varianza por diseño calculada sobre el microdato 2025: ponderador ponde_f, estrato de varianza est_sel, UPM mi_upm, linealización de Taylor con conglomerado último.","logit-t, reproducido desde el microdato (desviacion maxima 0.049 pp en 30 celdas)","Población estimada del universo analítico: personas de 12 a 65 años en el ámbito, suma de ponderadores del microdato de la propia edición."
